id,trial__id,struck_by,race,gender,defendant_race,strike_eligibility,cause_number,same_race,struck_state,year
4991,98,Struck by the defense,White,Male,Black,Both State and Defense,2003-0286,different race,Not struck by State,2003
4994,98,Juror chosen to serve on jury,Black,Male,Black,Both State and Defense,2003-0286,same race,Not struck by State,2003
4998,98,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2003-0286,different race,Not struck by State,2003
4999,98,Struck by the defense,White,Male,Black,Both State and Defense,2003-0286,different race,Not struck by State,2003
5001,98,Juror chosen to serve on jury,White,Female,Black,State,2003-0286,different race,Not struck by State,2003
5000,98,Juror chosen to serve on jury,Black,Female,Black,State,2003-0286,same race,Not struck by State,2003
5002,98,Juror chosen to serve on jury,Black,Female,Black,State,2003-0286,same race,Not struck by State,2003
5003,98,Struck by the state,White,Female,Black,State,2003-0286,different race,Struck by State,2003
5006,98,Juror chosen to serve on jury,White,Male,Black,State,2003-0286,different race,Not struck by State,2003
5007,98,Juror chosen as alternate,White,Male,Black,Both State and Defense,2003-0286,different race,Not struck by State,2003
5008,98,Struck by the defense,White,Female,Black,Both State and Defense,2003-0286,different race,Not struck by State,2003
5009,98,Struck by the state,White,Male,Black,State,2003-0286,different race,Struck by State,2003
5011,98,Juror chosen as alternate,Black,Female,Black,Both State and Defense,2003-0286,same race,Not struck by State,2003
6824,133,Struck by the state,Black,Female,White,State,2000-0110,different race,Struck by State,2000
6825,133,Juror chosen to serve on jury,White,Male,White,Both State and Defense,2000-0110,same race,Not struck by State,2000
6826,133,Struck by the defense,White,Female,White,Both State and Defense,2000-0110,same race,Not struck by State,2000
6827,133,Juror chosen to serve on jury,Black,Female,White,Both State and Defense,2000-0110,different race,Not struck by State,2000
6829,133,Struck by the state,Black,Male,White,State,2000-0110,different race,Struck by State,2000
6830,133,Juror chosen to serve on jury,Black,Male,White,Both State and Defense,2000-0110,different race,Not struck by State,2000
6831,133,Struck by the defense,White,Female,White,Both State and Defense,2000-0110,same race,Not struck by State,2000
6833,133,Struck by the defense,White,Female,White,Both State and Defense,2000-0110,same race,Not struck by State,2000
6835,133,Juror chosen to serve on jury,Black,Female,White,Both State and Defense,2000-0110,different race,Not struck by State,2000
6836,133,Juror chosen to serve on jury,White,Female,White,Both State and Defense,2000-0110,same race,Not struck by State,2000
6837,133,Juror chosen to serve on jury,Black,Female,White,Both State and Defense,2000-0110,different race,Not struck by State,2000
6838,133,Struck by the state,Black,Female,White,State,2000-0110,different race,Struck by State,2000
6839,133,Struck by the state,Black,Male,White,State,2000-0110,different race,Struck by State,2000
6841,133,Struck by the defense,White,Male,White,Both State and Defense,2000-0110,same race,Not struck by State,2000
6842,133,Struck by the state,Black,Female,White,State,2000-0110,different race,Struck by State,2000
6843,133,Juror chosen to serve on jury,Black,Female,White,Both State and Defense,2000-0110,different race,Not struck by State,2000
6844,133,Juror chosen to serve on jury,Black,Female,White,Both State and Defense,2000-0110,different race,Not struck by State,2000
6846,133,Juror chosen to serve on jury,White,Male,White,Both State and Defense,2000-0110,same race,Not struck by State,2000
6848,133,Struck by the defense,White,Female,White,Both State and Defense,2000-0110,same race,Not struck by State,2000
6853,133,Struck by the state,White,Female,White,State,2000-0110,same race,Struck by State,2000
4713,94,Struck by the defense,White,Male,Black,Both State and Defense,2000-0117,different race,Not struck by State,2000
4714,94,Juror chosen as alternate,Black,Male,Black,State,2000-0117,same race,Not struck by State,2000
4648,93,Juror chosen to serve on jury,White,Male,Asian,Both State and Defense,1999-0181,different race,Not struck by State,1999
2230,44,Struck by the defense,Black,Male,Black,Both State and Defense,1997-2092,same race,Not struck by State,1997
2231,44,Struck by the defense,Black,Male,Black,Both State and Defense,1997-2092,same race,Not struck by State,1997
2232,44,Juror chosen as alternate,Black,Female,Black,State,1997-2092,same race,Not struck by State,1997
2233,44,Juror chosen as alternate,Black,Female,Black,State,1997-2092,same race,Not struck by State,1997
2271,45,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,1998-2109,different race,Not struck by State,1998
2273,45,Struck by the defense,White,Male,Black,Both State and Defense,1998-2109,different race,Not struck by State,1998
2274,45,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,1998-2109,different race,Not struck by State,1998
2275,45,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,1998-2109,different race,Not struck by State,1998
2277,45,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,1998-2109,same race,Not struck by State,1998
2282,45,Struck by the defense,White,Male,Black,Both State and Defense,1998-2109,different race,Not struck by State,1998
2284,45,Struck by the defense,White,Male,Black,Both State and Defense,1998-2109,different race,Not struck by State,1998
2288,45,Juror chosen to serve on jury,White,Unknown,Black,Both State and Defense,1998-2109,different race,Not struck by State,1998
2289,45,Struck by the defense,White,Male,Black,Both State and Defense,1998-2109,different race,Not struck by State,1998
2291,45,Struck by the state,Black,Female,Black,State,1998-2109,same race,Struck by State,1998
2294,45,Struck by the state,Black,Female,Black,State,1998-2109,same race,Struck by State,1998
2315,46,Juror chosen to serve on jury,Black,Male,White,Both State and Defense,2000-0017,different race,Not struck by State,2000
2317,46,Juror chosen to serve on jury,White,Female,White,State,2000-0017,same race,Not struck by State,2000
2318,46,Juror chosen to serve on jury,Black,Female,White,State,2000-0017,different race,Not struck by State,2000
2319,46,Juror chosen to serve on jury,White,Male,White,State,2000-0017,same race,Not struck by State,2000
2320,46,Struck by the state,Black,Female,White,State,2000-0017,different race,Struck by State,2000
2321,46,Struck by the defense,White,Male,White,Both State and Defense,2000-0017,same race,Not struck by State,2000
2322,46,Juror chosen as alternate,White,Female,White,State,2000-0017,same race,Not struck by State,2000
2358,47,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2316,46,Struck by the defense,White,Male,White,Both State and Defense,2000-0017,same race,Not struck by State,2000
2365,47,Struck by the state,White,Male,Black,State,2001-0003,different race,Struck by State,2001
11047,223,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2002-0009,same race,Not struck by State,2002
11049,223,Struck by the state,Black,Female,Black,State,2002-0009,same race,Struck by State,2002
11053,223,Struck by the defense,Black,Female,Black,Both State and Defense,2002-0009,same race,Not struck by State,2002
11054,223,Struck by the state,Black,Male,Black,State,2002-0009,same race,Struck by State,2002
11062,223,Struck by the state,Black,Female,Black,State,2002-0009,same race,Struck by State,2002
11063,223,Struck by the state,Black,Female,Black,State,2002-0009,same race,Struck by State,2002
11064,223,Struck by the state,Black,Male,Black,State,2002-0009,same race,Struck by State,2002
2286,45,Struck by the state,Black,Male,Black,State,1998-2109,same race,Struck by State,1998
11066,223,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2002-0009,same race,Not struck by State,2002
2465,49,Juror chosen to serve on jury,White,Female,Unknown,Both State and Defense,2006-0014,different race,Not struck by State,2006
2466,49,Struck by the defense,White,Female,Unknown,Both State and Defense,2006-0014,different race,Not struck by State,2006
2470,49,Struck by the state,Black,Female,Unknown,State,2006-0014,different race,Struck by State,2006
2471,49,Juror chosen to serve on jury,Black,Female,Unknown,Both State and Defense,2006-0014,different race,Not struck by State,2006
2472,49,Struck by the defense,White,Female,Unknown,Both State and Defense,2006-0014,different race,Not struck by State,2006
2473,49,Struck by the state,Black,Female,Unknown,State,2006-0014,different race,Struck by State,2006
2475,49,Juror chosen to serve on jury,Black,Female,Unknown,Both State and Defense,2006-0014,different race,Not struck by State,2006
2479,49,Struck by the defense,White,Female,Unknown,Both State and Defense,2006-0014,different race,Not struck by State,2006
2480,49,Juror chosen to serve on jury,Black,Female,Unknown,Both State and Defense,2006-0014,different race,Not struck by State,2006
2481,49,Struck by the defense,White,Male,Unknown,Both State and Defense,2006-0014,different race,Not struck by State,2006
2482,49,Struck by the defense,White,Female,Unknown,Both State and Defense,2006-0014,different race,Not struck by State,2006
2483,49,Struck by the defense,White,Female,Unknown,Both State and Defense,2006-0014,different race,Not struck by State,2006
2484,49,Juror chosen to serve on jury,Black,Female,Unknown,State,2006-0014,different race,Not struck by State,2006
2485,49,Struck by the state,Black,Male,Unknown,State,2006-0014,different race,Struck by State,2006
2486,49,Juror chosen to serve on jury,Black,Female,Unknown,State,2006-0014,different race,Not struck by State,2006
2488,49,Struck by the state,Black,Male,Unknown,State,2006-0014,different race,Struck by State,2006
2490,49,Struck by the state,Black,Female,Unknown,State,2006-0014,different race,Struck by State,2006
2500,49,Struck by the state,Black,Female,Unknown,State,2006-0014,different race,Struck by State,2006
2532,50,Struck by the defense,White,Male,Black,Both State and Defense,2009-0012,different race,Not struck by State,2009
2361,47,Struck by the state,Black,Female,Black,State,2001-0003,same race,Struck by State,2001
2362,47,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2364,47,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2366,47,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2368,47,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2372,47,Struck by the state,Black,Female,Black,State,2001-0003,same race,Struck by State,2001
2373,47,Struck by the defense,White,Male,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2374,47,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2376,47,Struck by the defense,White,Female,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2377,47,Struck by the defense,White,Female,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2382,47,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2384,47,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2385,47,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2388,47,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2389,47,Juror chosen as alternate,White,Male,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2390,47,Juror chosen as alternate,White,Male,Black,Both State and Defense,2001-0003,different race,Not struck by State,2001
2533,50,Struck by the state,Black,Female,Black,State,2009-0012,same race,Struck by State,2009
2548,51,Struck by the defense,White,Male,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2549,51,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2550,51,Struck by the defense,White,Female,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2551,51,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2552,51,Struck by the defense,White,Male,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2553,51,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2554,51,Struck by the defense,White,Female,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2555,51,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2556,51,Struck by the state,Black,Female,Black,State,2010-0016,same race,Struck by State,2010
2558,51,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2559,51,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2560,51,Struck by the state,White,Female,Black,State,2010-0016,different race,Struck by State,2010
2561,51,Struck by the state,White,Female,Black,State,2010-0016,different race,Struck by State,2010
2563,51,Struck by the defense,White,Male,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2565,51,Juror chosen to serve on jury,White,Male,Black,State,2010-0016,different race,Not struck by State,2010
2566,51,Juror chosen to serve on jury,White,Male,Black,State,2010-0016,different race,Not struck by State,2010
2568,51,Juror chosen to serve on jury,White,Male,Black,State,2010-0016,different race,Not struck by State,2010
2570,51,Juror chosen to serve on jury,White,Female,Black,State,2010-0016,different race,Not struck by State,2010
2571,51,Struck by the state,Black,Female,Black,State,2010-0016,same race,Struck by State,2010
2125,42,Struck by the state,White,Female,White,State,2009-0061,same race,Struck by State,2009
2115,42,Struck by the state,White,Male,White,State,2009-0061,same race,Struck by State,2009
2116,42,Struck by the state,Black,Female,White,State,2009-0061,different race,Struck by State,2009
2117,42,Juror chosen to serve on jury,White,Female,White,Both State and Defense,2009-0061,same race,Not struck by State,2009
2120,42,Juror chosen to serve on jury,White,Male,White,Both State and Defense,2009-0061,same race,Not struck by State,2009
12999,268,Struck by the defense,White,Male,Black,Both State and Defense,2003-0071,different race,Not struck by State,2003
2122,42,Juror chosen to serve on jury,Black,Female,White,Both State and Defense,2009-0061,different race,Not struck by State,2009
2123,42,Struck by the defense,White,Male,White,Both State and Defense,2009-0061,same race,Not struck by State,2009
2124,42,Juror chosen as alternate,Black,Female,White,Both State and Defense,2009-0061,different race,Not struck by State,2009
2126,42,Juror chosen as alternate,Black,Male,White,Both State and Defense,2009-0061,different race,Not struck by State,2009
2564,51,Struck by the defense,White,Male,Black,Both State and Defense,2010-0016,different race,Not struck by State,2010
2569,51,Juror chosen to serve on jury,White,Male,Black,State,2010-0016,different race,Not struck by State,2010
13000,268,Struck by the defense,White,Female,Black,Both State and Defense,2003-0071,different race,Not struck by State,2003
9536,186,Struck by the state,Black,Female,Black,State,2009-0048,same race,Struck by State,2009
9524,186,Struck by the defense,White,Female,Black,Both State and Defense,2009-0048,different race,Not struck by State,2009
9518,186,Struck by the state,Black,Female,Black,State,2009-0048,same race,Struck by State,2009
9517,186,Struck by the defense,White,Male,Black,Both State and Defense,2009-0048,different race,Not struck by State,2009
9520,186,Struck by the state,Black,Female,Black,State,2009-0048,same race,Struck by State,2009
9521,186,Struck by the state,Black,Female,Black,State,2009-0048,same race,Struck by State,2009
9526,186,Struck by the state,White,Male,Black,State,2009-0048,different race,Struck by State,2009
9528,186,Struck by the state,Black,Female,Black,State,2009-0048,same race,Struck by State,2009
9529,186,Struck by the state,Black,Female,Black,State,2009-0048,same race,Struck by State,2009
9523,186,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2009-0048,different race,Not struck by State,2009
9519,186,Struck by the defense,White,Female,Black,Both State and Defense,2009-0048,different race,Not struck by State,2009
14416,186,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2009-0048,different race,Not struck by State,2009
7912,152,Struck by the state,Black,Female,Black,State,1998-4432,same race,Struck by State,1998
6953,135,Struck by the state,Black,Male,Black,State,2003-0071,same race,Struck by State,2003
7029,136,Struck by the state,Black,Female,Black,State,2004-0104,same race,Struck by State,2004
7030,136,Struck by the state,Black,Female,Black,State,2004-0104,same race,Struck by State,2004
7031,136,Struck by the state,Black,Male,Black,State,2004-0104,same race,Struck by State,2004
7032,136,Juror chosen to serve on jury,Black,Male,Black,State,2004-0104,same race,Not struck by State,2004
7033,136,Struck by the state,Black,Female,Black,State,2004-0104,same race,Struck by State,2004
7034,136,Juror chosen to serve on jury,White,Female,Black,State,2004-0104,different race,Not struck by State,2004
7035,136,Juror chosen to serve on jury,Black,Female,Black,State,2004-0104,same race,Not struck by State,2004
7036,136,Struck by the defense,White,Female,Black,Both State and Defense,2004-0104,different race,Not struck by State,2004
7037,136,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2004-0104,different race,Not struck by State,2004
7038,136,Struck by the defense,White,Female,Black,Both State and Defense,2004-0104,different race,Not struck by State,2004
7039,136,Juror chosen to serve on jury,Black,Male,Black,Both State and Defense,2004-0104,same race,Not struck by State,2004
7040,136,Struck by the defense,White,Female,Black,Both State and Defense,2004-0104,different race,Not struck by State,2004
7041,136,Struck by the state,Black,Female,Black,State,2004-0104,same race,Struck by State,2004
7042,136,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2004-0104,same race,Not struck by State,2004
7043,136,Juror chosen to serve on jury,Black,Male,Black,Both State and Defense,2004-0104,same race,Not struck by State,2004
7046,136,Struck by the defense,White,Female,Black,Both State and Defense,2004-0104,different race,Not struck by State,2004
7047,136,Struck by the defense,White,Female,Black,Both State and Defense,2004-0104,different race,Not struck by State,2004
7048,136,Juror chosen to serve on jury,Black,Male,Black,Both State and Defense,2004-0104,same race,Not struck by State,2004
7050,136,Struck by the state,Black,Female,Black,State,2004-0104,same race,Struck by State,2004
7052,136,Struck by the defense,White,Female,Black,Both State and Defense,2004-0104,different race,Not struck by State,2004
7053,136,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2004-0104,different race,Not struck by State,2004
