id,trial__id,struck_by,race,gender,defendant_race,strike_eligibility,cause_number,same_race,struck_state,year
7168,139,Struck by the defense,Black,Female,Black,Both State and Defense,2008-0038,same race,Not struck by State,2008
7169,139,Struck by the defense,White,Female,Black,Both State and Defense,2008-0038,different race,Not struck by State,2008
7170,139,Struck by the state,Black,Female,Black,State,2008-0038,same race,Struck by State,2008
7172,139,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2008-0038,different race,Not struck by State,2008
7173,139,Struck by the state,Black,Female,Black,State,2008-0038,same race,Struck by State,2008
7174,139,Struck by the defense,White,Female,Black,Both State and Defense,2008-0038,different race,Not struck by State,2008
7176,139,Struck by the state,Black,Female,Black,State,2008-0038,same race,Struck by State,2008
4294,88,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,1998-0011C-D,different race,Not struck by State,1998
4324,88,Struck by the state,Black,Male,Black,State,1998-0011C-D,same race,Struck by State,1998
5324,103,Struck by the defense,White,Female,Black,Both State and Defense,2005-0043,different race,Not struck by State,2005
5325,103,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2005-0043,different race,Not struck by State,2005
5326,103,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2005-0043,same race,Not struck by State,2005
5327,103,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2005-0043,same race,Not struck by State,2005
5328,103,Struck by the state,Black,Female,Black,State,2005-0043,same race,Struck by State,2005
5329,103,Struck by the state,Black,Female,Black,State,2005-0043,same race,Struck by State,2005
5330,103,Struck by the state,Black,Female,Black,State,2005-0043,same race,Struck by State,2005
5332,103,Struck by the defense,White,Male,Black,Both State and Defense,2005-0043,different race,Not struck by State,2005
5333,103,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2005-0043,same race,Not struck by State,2005
5334,103,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2005-0043,different race,Not struck by State,2005
5335,103,Juror chosen to serve on jury,Black,Male,Black,Both State and Defense,2005-0043,same race,Not struck by State,2005
5336,103,Juror chosen to serve on jury,Black,Male,Black,Both State and Defense,2005-0043,same race,Not struck by State,2005
5337,103,Struck by the defense,White,Female,Black,Both State and Defense,2005-0043,different race,Not struck by State,2005
